date,open,high,low,close,volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,is_trading_day
2018-02-12 08:00:00,8198.42,8326.59,8154.68,8315.76,702.159269,9210,395.681436,3260656.99260858,1
2018-02-12 08:30:00,8315.76,8417.0,8270.0,8345.51,1521.901408,15208,813.208098,6797061.91944337,1
2018-02-12 09:00:00,8345.51,8425.0,8281.0,8411.09,799.721966,10442,352.422322,2950240.72285228,1
2018-02-12 09:30:00,8411.09,8518.0,8410.52,8518.0,1158.29245,11919,686.952751,5815033.82077573,1
2018-02-12 10:00:00,8518.0,8570.0,8351.0,8451.39,1285.628475,12901,655.189873,5560119.12475761,1
2018-02-12 10:30:00,8451.39,8525.0,8425.01,8479.99,745.588684,9587,396.332923,3359778.86176042,1
2018-02-12 11:00:00,8479.0,8550.0,8430.0,8472.06,733.96958,9761,357.269232,3036349.51168523,1
2018-02-12 11:30:00,8472.06,8518.87,8446.01,8489.94,525.661788,7107,292.271937,2478431.45147874,1
2018-02-12 12:00:00,8485.12,8495.0,8381.0,8415.0,573.75645,9931,320.636371,2703575.52903331,1
2018-02-12 12:30:00,8415.0,8440.0,8337.0,8385.01,625.532294,9306,278.404838,2333214.14941699,1
2018-02-12 13:00:00,8385.01,8478.0,8374.31,8430.0,521.771719,8420,240.162951,2026879.60837974,1
2018-02-12 13:30:00,8430.0,8453.0,8406.06,8433.0,306.397404,5395,116.826291,984458.37752641,1
2018-02-12 14:00:00,8433.0,8534.0,8361.0,8532.0,840.270865,10937,371.225614,3141438.72212051,1
2018-02-12 14:30:00,8529.98,8535.0,8457.0,8473.76,676.885319,7476,264.827222,2250159.89639927,1
2018-02-12 15:00:00,8470.01,8745.0,8457.03,8737.77,1998.291366,19432,1132.461728,9773596.08025483,1
2018-02-12 15:30:00,8737.76,8798.0,8680.0,8758.0,1319.072502,15110,622.929258,5451081.60536039,1
2018-02-12 16:00:00,8755.01,8826.83,8674.45,8689.0,1212.109654,14709,566.765479,4963351.00287548,1
2018-02-12 16:30:00,8689.1,8784.0,8680.0,8768.43,890.845265,9951,482.348213,4216294.24673008,1
2018-02-12 17:00:00,8771.0,8789.0,8685.0,8729.57,778.376454,9214,367.624453,3212753.68583039,1
2018-02-12 17:30:00,8729.56,8840.82,8720.0,8823.93,1015.463148,11243,517.564603,4552299.79362941,1
2018-02-12 18:00:00,8823.93,8830.15,8650.0,8686.0,978.589762,11286,401.25896,3510713.96110522,1
2018-02-12 18:30:00,8686.07,8725.0,8621.11,8640.01,1001.102355,12242,502.565147,4358498.20231156,1
2018-02-12 19:00:00,8640.01,8725.0,8640.0,8709.99,801.893051,9781,445.258797,3870447.24102177,1
2018-02-12 19:30:00,8709.94,8774.9,8690.0,8760.0,770.554665,9881,405.456169,3545908.64994382,1
2018-02-12 20:00:00,8761.7,8772.0,8700.0,8735.03,509.608614,7765,226.390016,1979145.09873972,1
2018-02-12 20:30:00,8735.01,8748.0,8656.01,8670.75,673.341188,7865,276.143015,2400361.36881093,1
2018-02-12 21:00:00,8668.26,8695.0,8532.0,8536.0,1310.188282,11359,551.910795,4748955.76743992,1
2018-02-12 21:30:00,8536.0,8593.0,8502.0,8529.59,1116.392306,10611,516.190625,4407973.27041262,1
2018-02-12 22:00:00,8529.56,8630.0,8518.89,8612.0,837.303837,8983,397.676328,3414572.74781542,1
2018-02-12 22:30:00,8611.02,8670.0,8579.51,8670.0,697.131734,7330,343.160754,2959920.34643651,1
2018-02-12 23:00:00,8669.99,8736.34,8631.0,8693.0,862.74983,9377,418.712359,3638339.84539241,1
2018-02-12 23:30:00,8693.0,8744.98,8656.81,8665.15,704.290024,8133,332.560712,2898755.41920885,1
2018-02-13 00:00:00,8665.23,8720.0,8620.0,8692.82,636.228402,8609,342.677947,2972413.09622724,1
2018-02-13 00:30:00,8692.83,8780.0,8666.0,8768.07,672.065214,7924,370.732952,3237313.76216549,1
2018-02-13 01:00:00,8768.01,8771.48,8647.26,8669.0,727.412775,8980,284.734301,2481337.09088585,1
2018-02-13 01:30:00,8669.42,8710.0,8639.24,8685.24,540.337421,7019,249.997449,2169623.25009442,1
2018-02-13 02:00:00,8685.27,8738.98,8665.49,8736.55,514.39099,7347,301.114486,2622386.94747341,1
2018-02-13 02:30:00,8736.57,8799.42,8700.0,8792.76,691.772778,7862,419.172702,3671617.39956466,1
2018-02-13 03:00:00,8793.0,8890.0,8762.26,8868.13,1001.162692,10799,570.17687,5035298.10937044,1
2018-02-13 03:30:00,8868.0,8927.0,8840.98,8872.02,1098.921888,11650,503.119327,4471750.66680399,1
2018-02-13 04:00:00,8872.02,8888.88,8779.0,8811.0,780.225892,8589,285.303058,2522564.74778036,1
2018-02-13 04:30:00,8811.7,8860.0,8781.01,8830.96,668.276841,6836,346.073307,3057354.60350961,1
